StationID	StationNam	LatitudeDD	LongitudeD	Horizontal	StationDep	StationD_1	WaterbodyN	NEPName	TaxaName	Count	PctDensity
RB1	Red Brook Harbor Inner	41.674697	-70.615118	NA	3.065952381	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.058823529
RB2	Red Brook Harbor Inner	41.674365	-70.62195	NA	2.590454546	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.047619048
RB3	Red Brook Harbor Outer	41.674757	-70.627456	NA	2.2762	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.090909091
RB4	Red Brook Harbor	41.678564	-70.619073	NA	1.898333333	NA	Pocasset/Red Brook Harbor	NA	taxon01	1	0.052631579
QH1	Quissett Harbor Outer	41.53866	-70.656728	NA	1.653222222	NA	Quissett Harbor	NA	taxon01	1	0.038461538
QH3	Quissett Harbor Outer	41.537467	-70.664029	NA	2.58972973	NA	Quissett Harbor	NA	taxon01	1	0.052631579
SH1	Sippican Harbor Inner	41.714032	-70.76535	NA	2.04969697	NA	Sippican Harbor	NA	taxon01	1	0.055555556
SH3A	Sippican Harbor Outer	41.697812	-70.754467	NA	3.373606557	NA	Sippican Harbor	NA	taxon01	1	0.052631579
SH3X	Sippican Harbor Outer	41.69334	-70.755867	NA	3.08	NA	Sippican Harbor	NA	taxon01	1	0.052631579
WCM2	Wings Cove Outer	41.695179	-70.719337	NA	2.2554	NA	Wings Cove	NA	taxon01	1	0.1
101E	Westport River East Upper	41.620872	-71.059804	NA	0.665675676	NA	Westport River-East	NA	taxon01	1	0.071428571
102E	Westport River East Upper	41.593878	-71.065269	NA	0.4	NA	Westport River-East	NA	taxon01	1	0.066666667
107E	Westport River East Outer	41.523097	-71.065944	NA	0.863235294	NA	Westport River-East	NA	taxon01	1	0.052631579
109E	Westport River East Outer	41.516021	-71.070645	NA	2.70625	NA	Westport River-East	NA	taxon01	1	0.066666667
E30	Westport River East Outer	41.520447	-71.065131	NA	4.279878788	NA	Westport River-East	NA	taxon01	1	0.071428571
E69	Westport River East Inner	41.56315	-71.072469	NA	4.8971875	NA	Westport River-East	NA	taxon01	1	0.083333333
N0	Westport River East Upper	41.620433	-71.059651	NA	0.463157895	NA	Westport River-East	NA	taxon01	1	0.066666667
N1	Westport River East Upper	41.595589	-71.066481	NA	1.058965517	NA	Westport River-East	NA	taxon01	1	0.066666667
N2	Westport River East Upper	41.58545	-71.068722	NA	1.015652174	NA	Westport River-East	NA	taxon01	1	0.083333333
N3	Westport River East Upper	41.580228	-71.073019	NA	0.912692308	NA	Westport River-East	NA	taxon01	1	0.058823529
N4	Westport River East Upper	41.5722	-71.072081	NA	2.060961539	NA	Westport River-East	NA	taxon01	1	0.0625
WF11	West Falmouth Snug Harbor	41.607151	-70.638482	NA	1.406153846	NA	West Falmouth Harbor	NA	taxon01	1	0.025641026
WF1N	West Falmouth Harbor Inner	41.604066	-70.63942	NA	1.525	NA	West Falmouth Harbor	NA	taxon01	1	0.026315789
WF1X	West Falmouth Harbor Inner	41.603964	-70.639281	NA	1.75772043	NA	West Falmouth Harbor	NA	taxon01	1	0.066666667
WF2	West Falmouth Snug Harbor	41.608661	-70.63719	NA	1.207058824	NA	West Falmouth Harbor	NA	taxon01	1	0.026315789
WF4X	West Falmouth Harbor Chappaquoit	41.598398	-70.64267	NA	1.369252033	NA	West Falmouth Harbor	NA	taxon01	1	0.035714286
WF5N	West Falmouth Harbor Chappaquoit	41.599457	-70.645197	NA	1.515416667	NA	West Falmouth Harbor	NA	taxon01	1	0.028571429
WF5X	West Falmouth Harbor Head	41.597144	-70.641145	NA	3	NA	West Falmouth Harbor	NA	taxon01	1	0.1
WF9	West Falmouth Harbor Outer	41.606047	-70.651667	NA	2.360344828	NA	West Falmouth Harbor	NA	taxon01	1	0.037037037
WH1X	Wild Harbor Inner	41.640888	-70.643709	NA	0.886825397	NA	Wild Harbor	NA	taxon01	1	0.058823529
WW1N	Weweantic River Inner	41.738524	-70.745778	NA	1.823125	NA	Weweantic River	NA	taxon01	1	0.058823529
WW2	Weweantic River Inner	41.74476	-70.748034	NA	1.316369863	NA	Weweantic River	NA	taxon01	1	0.0625
WW4A	Weweantic River Outer	41.731919	-70.736873	NA	2.162121212	NA	Weweantic River	NA	taxon01	1	0.058823529
WW5	Weweantic River Outer	41.723733	-70.726659	NA	2.498478261	NA	Weweantic River	NA	taxon01	1	0.045454545
WW6	Weweantic River Inner	41.749216	-70.745789	NA	0.86483871	NA	Weweantic River	NA	taxon01	1	0.047619048
W9	Westport River West Outer	41.5223	-71.096908	NA	2.773478261	NA	Westport River-West	NA	taxon01	1	0.066666667
WF11	West Falmouth Snug Harbor	41.607151	-70.638482	NA	1.422142857	NA	West Falmouth Harbor	NA	taxon01	1	0.025641026
WF2	West Falmouth Snug Harbor	41.608661	-70.63719	NA	1.414645161	NA	West Falmouth Harbor	NA	taxon01	1	0.026315789
WF4N	West Falmouth Harbor Head	41.596107	-70.6413	NA	2.507222222	NA	West Falmouth Harbor	NA	taxon01	1	0.045454545
WF6	West Falmouth Harbor Outer	41.606217	-70.643328	NA	2.161666667	NA	West Falmouth Harbor	NA	taxon01	1	0.033333333
WF7	West Falmouth Harbor Outer	41.605767	-70.645777	NA	2.839166667	NA	West Falmouth Harbor	NA	taxon01	1	0.0625
FHx	Falmouth Inner Harbor	41.549092	-70.60233056	NA	NA	NA	Falmouth Inner Harbor	NA	taxon01	1	0.125
LGP10	Lagoon Pond-10	41.452951	-70.592597	NA	NA	NA	Lagoon Pond	NA	taxon01	1	0.090909091
LGP4	Lagoon Pond-4	41.432696	-70.601528	NA	NA	NA	Lagoon Pond	NA	taxon01	1	0.083333333
NH-2	Nantucket Harbor_2	41.28243333	-70.09188333	NA	NA	NA	Nantucket Harbor	NA	taxon01	1	0.076923077
NBH-108	Upper Harbor	41.67499	-70.91619	NA	NA	NA	Acushnet River	NA	taxon01	1	0.071428571
NBH-111	Upper Harbor	41.67361	-70.91514	NA	NA	NA	Acushnet River	NA	taxon01	1	0.0625
NBH-120	Upper Harbor	41.66951	-70.91835	NA	NA	NA	Acushnet River	NA	taxon01	1	0.071428571
NBH-121	Upper Harbor	41.6695	-70.91624	NA	NA	NA	Acushnet River	NA	taxon01	1	0.071428571
NBH-128	Upper Harbor	41.66538	-70.91733	NA	NA	NA	Acushnet River	NA	taxon01	1	0.083333333
NBH-131	Upper Harbor	41.664	-70.91629	NA	NA	NA	Acushnet River	NA	taxon01	1	0.0625
NBH-139	Upper Harbor	41.66127	-70.91843	NA	NA	NA	Acushnet River	NA	taxon01	1	0.090909091
NBH-207	Lower Harbor	41.64991	-70.92136	NA	NA	NA	Acushnet River	NA	taxon01	1	0.055555556
NBH-212	Lower Harbor	41.64714	-70.91507	NA	NA	NA	Acushnet River	NA	taxon01	1	0.111111111
NBH-221	Lower Harbor	41.64168	-70.91512	NA	NA	NA	Acushnet River	NA	taxon01	1	0.0625
NBH-224	Lower Harbor	41.63898	-70.92146	NA	NA	NA	Acushnet River	NA	taxon01	1	0.076923077
NBH-227	Lower Harbor	41.63891	-70.90884	NA	NA	NA	Acushnet River	NA	taxon01	1	0.071428571
NBH-230	Lower Harbor	41.63623	-70.91938	NA	NA	NA	Acushnet River	NA	taxon01	1	0.083333333
NBH-235	Lower Harbor	41.63349	-70.9173	NA	NA	NA	Acushnet River	NA	taxon01	1	0.045454545
NBH-236	Lower Harbor	41.63347	-70.91309	NA	NA	NA	Acushnet River	NA	taxon01	1	0.055555556
NBH-240	Lower Harbor	41.63075	-70.91522	NA	NA	NA	Acushnet River	NA	taxon01	1	0.0625
NBH-245	Lower Harbor	41.628	-70.91314	NA	NA	NA	Acushnet River	NA	taxon01	1	0.076923077
NBH-247	Lower Harbor	41.62796	-70.90473	NA	NA	NA	Acushnet River	NA	taxon01	1	0.05
MA03-0051-B	Katama Bay	41.3602	-70.5016	NA	2.8	NA	Katama Bay	NA	taxon01	1	0.047619048
MA00-0049-A	Madaket Harbor	41.2762	-70.2065	NA	0.5	NA	Madaket Harbor	NA	taxon01	1	0.0625
MA01-0050-A	Menemsha Pond	41.339	-70.773	NA	1.4	NA	Menemsha Pond	NA	taxon01	1	0.066666667
MA03-0100-A	Menemsha Pond	41.331	-70.769	NA	2	NA	Menemsha Pond	NA	taxon01	1	0.052631579
MA04-0104-B	Menemsha Pond	41.3515	-70.7665	NA	2.1	NA	Menemsha Pond	NA	taxon01	1	0.0625
MA03-0106-A	Nantucket Harbor	41.3359	-70.0157	NA	4.2	NA	Nantucket Harbor	NA	taxon01	1	0.066666667
MA06-0028-A	Buzzards Bay	41.678	-70.73	NA	5.4	NA	Sippican Harbor	NA	taxon01	1	0.0625
MA00-0039-A	Westport River-East	41.551	-71.061	NA	1.5	NA	Westport River-East	NA	taxon01	1	0.0625
NCCA10-1008	Westport River	41.60472	-71.06257	NA	0.2	NA	Westport River-East	NA	taxon01	1	0.052631579
NCCA10-2001	Westport River	41.52175	-71.085717	NA	1	NA	Westport River-West	NA	taxon01	1	0.055555556
MH1	Hither Creek	41.27634838	-70.19587674	NA	NA	NA	Madaket Harbor	NA	taxon01	1	0.055555556
NAN1	Mooring Field-Nantucket Harbor	41.28573659	-70.08636174	NA	NA	NA	Nantucket Harbor	NA	taxon01	1	0.058823529
NAN2	Quaise Basin-Nantucket Harbor	41.30871986	-70.04129321	NA	NA	NA	Nantucket Harbor	NA	taxon01	1	0.058823529
NAN7	Nantucket Harbor	41.2872638	-70.09391429	NA	NA	NA	Nantucket Harbor	NA	taxon01	1	0.058823529
ACM-3	Acushnet River	41.63005	-70.90768	NA	NA	NA	Acushnet River	NA	taxon01	1	0.071428571
ACM-8	Acushnet River	41.65565	-70.91662	NA	NA	NA	Acushnet River	NA	taxon01	1	0.090909091
CCM-10	Clarks Cove	41.61035	-70.92007	NA	NA	NA	Clarks Cove	NA	taxon01	1	0.1
CCM-2	Clarks Cove	41.59277	-70.92255	NA	NA	NA	Clarks Cove	NA	taxon01	1	0.1
CCM-3	Clarks Cove	41.59458	-70.91183	NA	NA	NA	Clarks Cove	NA	taxon01	1	0.125
CPM-2	Cuttyhunk Pond	41.42462	-70.92962	NA	NA	NA	Cuttyhunk Pond	NA	taxon01	1	0.083333333
CPM-3	Cuttyhunk Pond	41.4248	-70.92502	NA	NA	NA	Cuttyhunk Pond	NA	taxon01	1	0.111111111
CPM-4	Cuttyhunk Pond	41.42518	-70.92347	NA	NA	NA	Cuttyhunk Pond	NA	taxon01	1	0.090909091
CPM-9	Cuttyhunk Pond	41.42718	-70.92673	NA	NA	NA	Cuttyhunk Pond	NA	taxon01	1	0.090909091
FHM-2	Falmouth Inner Harbor	41.5443	-70.60542	NA	NA	NA	Falmouth Inner Harbor	NA	taxon01	1	0.2
FHM-4	Falmouth Inner Harbor	41.5459	-70.60367	NA	NA	NA	Falmouth Inner Harbor	NA	taxon01	1	0.111111111
FHM-9	Falmouth Inner Harbor	41.55007	-70.60167	NA	NA	NA	Falmouth Inner Harbor	NA	taxon01	1	0.090909091
KBM-1	Katama Bay	41.35853	-70.50068	NA	NA	NA	Katama Bay	NA	taxon01	1	0.111111111
KBM-6	Katama Bay	41.36127	-70.48073	NA	NA	NA	Katama Bay	NA	taxon01	1	0.125
KBM-7	Katama Bay	41.37335	-70.50545	NA	NA	NA	Katama Bay	NA	taxon01	1	0.1
LPM-10	Lagoon Pond	41.45713	-70.58275	NA	NA	NA	Lagoon Pond	NA	taxon01	1	0.1
LPM-2	Lagoon Pond	41.4359	-70.6019	NA	NA	NA	Lagoon Pond	NA	taxon01	1	0.1
LPM-4	Lagoon Pond	41.44205	-70.59768	NA	NA	NA	Lagoon Pond	NA	taxon01	1	0.083333333
LPM-7	Lagoon Pond	41.44693	-70.58892	NA	NA	NA	Lagoon Pond	NA	taxon01	1	0.090909091
MHM-10	Mattapoisett Harbor	41.65248	-70.79952	NA	NA	NA	Mattapoisett Harbor	NA	taxon01	1	0.083333333
MHM-8	Mattapoisett Harbor	41.65388	-70.81692	NA	NA	NA	Mattapoisett Harbor	NA	taxon01	1	0.090909091
MHM-9	Mattapoisett Harbor	41.65638	-70.8111	NA	NA	NA	Mattapoisett Harbor	NA	taxon01	1	0.090909091
MPM-10	Menemsha Pond	41.35255	-70.7658	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.111111111
MPM-2	Menemsha Pond	41.33257	-70.76882	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.090909091
MPM-5	Menemsha Pond	41.3355	-70.76603	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.071428571
MPM-7	Menemsha Pond	41.34333	-70.76818	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.125
MPM-8	Menemsha Pond	41.34752	-70.7679	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.083333333
MPM-9	Menemsha Pond	41.34767	-70.76752	NA	NA	NA	Menemsha Pond	NA	taxon01	1	0.1
OBM-10	Onset Bay	41.74138	-70.654	NA	NA	NA	Onset Bay	NA	taxon01	1	0.083333333
OBM-6	Onset Bay	41.73287	-70.65017	NA	NA	NA	Onset Bay	NA	taxon01	1	0.066666667
OBM-7	Onset Bay	41.73993	-70.65977	NA	NA	NA	Onset Bay	NA	taxon01	1	0.1
OBM-8	Onset Bay	41.73588	-70.65007	NA	NA	NA	Onset Bay	NA	taxon01	1	0.125
PHM-1	Phinneys Harbor	41.71588	-70.63035	NA	NA	NA	Phinneys Harbor	NA	taxon01	1	0.076923077
PHM-3	Phinneys Harbor	41.71512	-70.61773	NA	NA	NA	Phinneys Harbor	NA	taxon01	1	0.076923077
PHM-5	Phinneys Harbor	41.71873	-70.62713	NA	NA	NA	Phinneys Harbor	NA	taxon01	1	0.142857143
PHM-6	Phinneys Harbor	41.71637	-70.61963	NA	NA	NA	Phinneys Harbor	NA	taxon01	1	0.076923077
PHM-8	Phinneys Harbor	41.72447	-70.62432	NA	NA	NA	Phinneys Harbor	NA	taxon01	1	0.125
SHM-2	Sippican Harbor	41.68245	-70.73163	NA	NA	NA	Sippican Harbor	NA	taxon01	1	0.125
SHM-3	Sippican Harbor	41.67608	-70.72083	NA	NA	NA	Sippican Harbor	NA	taxon01	1	0.111111111
SHM-5	Sippican Harbor	41.68623	-70.73753	NA	NA	NA	Sippican Harbor	NA	taxon01	1	0.076923077
SHM-9	Sippican Harbor	41.69855	-70.73813	NA	NA	NA	Sippican Harbor	NA	taxon01	1	0.083333333
TBM-4	Tarpaulin Bay	41.47403	-70.75717	NA	NA	NA	Tarpaulin Bay	NA	taxon01	1	0.090909091
TBM-8	Tarpaulin Bay	41.47657	-70.749	NA	NA	NA	Tarpaulin Bay	NA	taxon01	1	0.066666667
VHM-2	Vineyard Haven-Inner	41.4543	-70.59685	NA	NA	NA	Vineyard Haven-Inner	NA	taxon01	1	0.0625
VHM-4	Vineyard Haven-Inner	41.45472	-70.5968	NA	NA	NA	Vineyard Haven-Inner	NA	taxon01	1	0.142857143
VHM-6	Vineyard Haven-Inner	41.45697	-70.60008	NA	NA	NA	Vineyard Haven-Inner	NA	taxon01	1	0.111111111
